,column,value,Compound,Concentration (M)
620,GC,0.898712,GC,0.0
621,GC,0.68408,GC,0.0
622,GC,0.727547,GC,0.0
623,GC,0.679352,GC,0.0
624,GC,0.609896,GC,0.0
625,GC,0.628911,GC,0.0
626,GC,0.687771,GC,0.0
627,GC,0.713408,GC,0.0
628,GC,0.557488,GC,0.0
629,GC,0.534602,GC,0.0
630,GC,0.976954,GC,0.0
631,GC,0.537324,GC,0.0
632,GC,0.5346,GC,0.0
633,GC,0.572576,GC,0.0
634,GC,0.3828,GC,0.0
635,GC,0.379483,GC,0.0
636,GC,0.222376,GC,0.0
637,GC,0.214796,GC,0.0
638,GC,0.333142,GC,0.0
639,GC,0.714543,GC,0.0
640,GC,0.778041,GC,0.0
641,GC,0.837205,GC,0.0
642,GC,0.600126,GC,0.0
643,GC,0.59745,GC,0.0
